window_start,window_end,market_slug,open_price,close_price,token_ids
2026-06-23T12:30:00+00:00,2026-06-23T12:35:00+00:00,btc-updown-5m-1782217800,62410.5,,"[""90502288193424583818440882257460455558593882316890968559400616375130055535354"", ""37214580413767163552527982993030133543986779004363095944615851503750133113814""]"
2026-06-23T12:35:00+00:00,2026-06-23T12:40:00+00:00,btc-updown-5m-1782218100,62343.95,,"[""62493884552047541313633487599266669981693996775041915784231567661674347815844"", ""80215551794185720261437140283629188991194317684493487088051887979308240609010""]"
2026-06-23T12:40:00+00:00,2026-06-23T12:45:00+00:00,btc-updown-5m-1782218400,62304.92,,"[""34712258942001132437259888338772135342833622086748508095083602453674372070390"", ""17268362390885894895979658223104571037280372013865004752196465547602767374680""]"
2026-06-23T12:45:00+00:00,2026-06-23T12:50:00+00:00,btc-updown-5m-1782218700,62335.04,,"[""29596014731084216076923501335610557490568678608365473442962862181289260763521"", ""31445080954291005693656416280626162926399218050058209488531523006164311461788""]"
2026-06-23T12:50:00+00:00,2026-06-23T12:55:00+00:00,btc-updown-5m-1782219000,62310.73,,"[""112301189532884373786712579252459200715387886265788049249583555201676436886473"", ""46602727298503371284083839438736167795846410732775265385027346708313448662624""]"
2026-06-23T12:55:00+00:00,2026-06-23T13:00:00+00:00,btc-updown-5m-1782219300,62298.54,,"[""92071971767715728917908092690036798253733944350826820526377543063068425369869"", ""5643012989146222864278651923623860059713411031651210029366487991581503575203""]"
2026-06-23T13:00:00+00:00,2026-06-23T13:05:00+00:00,btc-updown-5m-1782219600,62259.87,,"[""53330428831279189185678690662049320659978151379152563626212382100144983569575"", ""84792754359940941377274942223663277347831686739362157004231310794816318601127""]"
2026-06-23T13:05:00+00:00,2026-06-23T13:10:00+00:00,btc-updown-5m-1782219900,62197.99,,"[""72521370524750361386836994294037346138647259483400928174296969067392838759032"", ""63582977739156291979113031876104557584163324294141330449732616633694735287497""]"
2026-06-23T13:10:00+00:00,2026-06-23T13:15:00+00:00,btc-updown-5m-1782220200,62124.46,,"[""80926864242576451300429078349346067809148004867358433986039191902143437738"", ""53833231038858212668742031864268417675125372158732605405024000886790779320768""]"
2026-06-23T13:15:00+00:00,2026-06-23T13:20:00+00:00,btc-updown-5m-1782220500,62166.26,,"[""68924645574898248047350850638370727971571049567586086136993447245058197362271"", ""6870283474708294593702504208703574591765004404136346646924670907039759296167""]"
2026-06-23T13:20:00+00:00,2026-06-23T13:25:00+00:00,btc-updown-5m-1782220800,62128.01,,"[""38287320843526877206095396558485676323202147362864654109448999275776526150323"", ""70530889690505656596719437603963979391170729534512729912009005203355139233327""]"
2026-06-23T13:25:00+00:00,2026-06-23T13:30:00+00:00,btc-updown-5m-1782221100,62098.93,,"[""72216533297575877772404978402610901588617234479573756045139529281867240723728"", ""72435579979868051561008491656905815118718157535119221590963728113018946691767""]"
