ts,resolved_ts,side,entry_price,delta,p_model,pnl,outcome,window_start,sigma,dfo,snr,ofi1,ofi5,btc
2026-05-13T12:13:41.884757+00:00,2026-05-13T12:17:28.812381+00:00,YES,0.89,30.08,0.6645755272781889,12.12,UP,2026-05-13T12:10:00+00:00,,,,,,
2026-05-13T12:18:15.734193+00:00,2026-05-13T12:25:13.815171+00:00,NO,0.68,-23.99,0.600270741354749,45.88,DOWN,2026-05-13T12:15:00+00:00,,,20.545,-270361.0,1926547.0,80523.62
2026-05-13T12:43:00.331206+00:00,2026-05-13T12:48:19.807349+00:00,YES,0.93,93.04,0.6350818275259157,7.42,UP,2026-05-13T12:40:00+00:00,,,,,,
2026-05-13T12:48:00.789825+00:00,2026-05-13T12:52:02.440534+00:00,YES,0.93,70.46,0.6032891983391866,7.42,UP,2026-05-13T12:45:00+00:00,,,,,,
2026-05-13T12:53:57.000107+00:00,2026-05-13T12:57:45.000878+00:00,NO,0.92,-36.2,0.6005226278607009,8.56,DOWN,2026-05-13T12:50:00+00:00,,,29.931,-266081.0,117032.0,80207.62
2026-05-13T12:58:39.990914+00:00,2026-05-13T13:04:28.186656+00:00,YES,0.93,46.05,0.6006729511422212,7.42,UP,2026-05-13T12:55:00+00:00,,,,,,
2026-05-13T13:04:08.956817+00:00,2026-05-13T13:07:49.374719+00:00,YES,0.95,37.48,0.6332923617616819,5.21,UP,2026-05-13T13:00:00+00:00,,,,,,
2026-05-13T13:08:33.268539+00:00,2026-05-13T13:15:31.884048+00:00,YES,0.94,43.34,0.6013996497156961,6.3,UP,2026-05-13T13:05:00+00:00,,,,,,
2026-05-13T13:18:14.996763+00:00,2026-05-13T13:22:54.274015+00:00,YES,0.87,28.48,0.6062752691708735,-100.0,DOWN,2026-05-13T13:15:00+00:00,,,,,,
2026-05-13T13:23:00.724299+00:00,2026-05-13T13:27:58.473996+00:00,NO,0.88,-37.21,0.6218624999487122,13.36,DOWN,2026-05-13T13:20:00+00:00,,,35.277,48560.5,-130490.5,80263.35
2026-05-13T13:28:00.784958+00:00,2026-05-13T13:32:43.063530+00:00,NO,0.77,-52.6,0.6698391302793001,29.09,DOWN,2026-05-13T13:25:00+00:00,,,49.833,-190461.0,1315073.0,80171.66
2026-05-13T13:33:00.080356+00:00,2026-05-13T13:36:45.622444+00:00,YES,0.56,48.95,0.6263926085738935,-100.0,DOWN,2026-05-13T13:30:00+00:00,,,,,,
2026-05-13T13:43:02.311666+00:00,2026-05-13T13:48:31.103033+00:00,YES,0.68,49.27,0.6027250207944883,-100.0,DOWN,2026-05-13T13:40:00+00:00,,,7.618,117077.0,-3777627.0,79869.29
2026-05-13T13:53:00.973462+00:00,2026-05-13T13:58:54.398967+00:00,YES,0.88,66.57,0.6252507557722231,13.36,UP,2026-05-13T13:50:00+00:00,,,,,,
2026-05-13T13:58:00.742392+00:00,2026-05-13T14:03:59.392349+00:00,NO,0.95,-125.68,0.7265317294656495,5.21,DOWN,2026-05-13T13:55:00+00:00,,,44.921,715643.0,615080.0,79670.75
2026-05-13T14:03:29.466831+00:00,2026-05-13T14:08:23.689292+00:00,YES,0.63,41.33,0.6028489774572462,-100.0,DOWN,2026-05-13T14:00:00+00:00,,,10.231,98498.0,-7103014.0,79608.63500000001
2026-05-13T14:08:00.294115+00:00,2026-05-13T14:14:26.625430+00:00,YES,0.93,73.19,0.6364795827171246,7.42,UP,2026-05-13T14:05:00+00:00,,,,,,
2026-05-13T14:13:13.755619+00:00,2026-05-13T14:16:48.230998+00:00,YES,0.81,48.01,0.6017674192225877,22.86,UP,2026-05-13T14:10:00+00:00,,,,,,
2026-05-13T14:18:12.850155+00:00,2026-05-13T14:24:56.092271+00:00,NO,0.62,-41.68,0.6000243736491572,59.9,DOWN,2026-05-13T14:15:00+00:00,,,13.183,190806.0,-398367.0,79689.305
2026-05-13T14:23:00.665545+00:00,2026-05-13T14:29:38.898487+00:00,YES,0.86,48.44,0.6041660490417022,15.92,UP,2026-05-13T14:20:00+00:00,,,,,,
2026-05-13T14:28:00.276995+00:00,2026-05-13T14:35:03.850257+00:00,YES,0.95,82.13,0.6721497233787107,5.21,UP,2026-05-13T14:25:00+00:00,,,,,,
2026-05-13T14:33:00.099199+00:00,2026-05-13T14:40:08.533266+00:00,NO,0.92,-78.0,0.6809572098727412,8.56,DOWN,2026-05-13T14:30:00+00:00,,,38.184,-214530.0,-841538.0,79799.36499999999
2026-05-13T14:43:00.676044+00:00,2026-05-13T14:51:18.564640+00:00,NO,0.88,-48.89,0.6359291519035785,13.36,DOWN,2026-05-13T14:40:00+00:00,,,43.429,-662496.0,-1254132.5,79749.98999999999
2026-05-13T14:48:00.863430+00:00,2026-05-13T14:54:42.514076+00:00,NO,0.82,-43.42,0.6275098001032355,21.41,DOWN,2026-05-13T14:45:00+00:00,,,31.319,-896100.0,-1521102.0,79663.58
2026-05-13T15:03:00.860702+00:00,2026-05-13T15:10:06.797270+00:00,YES,0.91,59.37,0.6714404964334592,-100.0,DOWN,2026-05-13T15:00:00+00:00,,,,,,
2026-05-13T15:18:55.442512+00:00,2026-05-13T15:25:33.972992+00:00,NO,0.62,-31.97,0.63882109402181,59.9,DOWN,2026-05-13T15:15:00+00:00,,,21.385,-300086.0,-2473116.0,79406.28
2026-05-13T15:23:01.178718+00:00,2026-05-13T15:30:38.073119+00:00,YES,0.74,61.6,0.6450889394598242,34.21,UP,2026-05-13T15:20:00+00:00,,,,,,
